,Tweet
80,"ตอนอยู่ที่ทำงานเก่ากุว่ากุเข้ากับคนแก่ได้นะ มันจะมีแค่ความตามไม่ทันเทตโน แต่ชั้นรู้สึกดีที่ได้ช่วย 
พอมาที่นี่แก่กินข้าว อีโก้สูง ทำเป็นศาลพระภูมิบ้าให้คนไหว้ หน้าไหว้หลังหลอกมาก ใครใหญ่ก็ไปประจบ ใครที่มองต่ำกว่าก็พูดหมาไม่แดก ละพอเจอพื้นเพคือลูกทหารเด็กสกเพาะช่าง อิควายโซตัส"
81,เจอเด็กม.1พูดว่าอีดอกใส่ ไอเหี้ย ไม่อยากโซตัส แต่มึงก็รู้จักมารยาทนิดนึงเหอะ
82,@didi_pun มาไม่ทันตอนฉายเรื่องนี้ค่ะ ดูย้อนหลังเอา เพราะเห็นสิงเล่น (ตามมาจากโซตัส) ชอบเรื่องนี้มากเลย สิงเล่นได้น่ารักมากๆ แบบไม่แปลกใจเลยว่าทำไมธันถึงชอบพี่เมศตั้งแต่เด็ก  ชอบน้องโอมจากเรื่องนี้ด้วยเหมือนกัน น้องเล่นเก่ง น่ารัก เป็นธรรมชาติดี ไม่น่าเชื่อว่าเป็นเรื่องแรกๆของน้อง 
83,อย่าโซตัส 
84,ส่วนตัวไม่ได้ชอบโซตัส แต่ก็ไม่ได้ชอบที่เอาคนมาด่าเหมือนกันถ้าคนจะด่าก็ไปด่าที่ต้นทางเลยดีกว่ามั้ง
85,@Horo4you รับครับ
86,คนที่อายุมากกว่าชั้นขึ้นไป คือช่วงอายุที่เจ็บปวดกับโซตัส เด็กๆหลังๆอาจจะไม่ได้เจอแล้ว เป็นสิ่งที่ดีโคตรๆ มันคือเรื่องฝังใจจริงๆ มีกลุ่มเล็กๆเป็นผู้กระทำ และกลุ่มใหญ่ถูกกระทำ มีคนถูกฝืนให้ต้องทำ มันโคตรจะอำนาจกดขี่กันเลย วันนี้หมดจากมหาลัย วันหน้าขอให้หมดไปจากที่ทำงาน
87,เพื่อนสนิทจริงๆ มีทั้งพูดกูมึงกันกับแกกับเค้าแต่ มีอย่างหลังเยอะกว่า ส่วนเพื่อนร่วมรุ่นที่เป็นเพื่อนร่วมงานด้วยมักเป็นพวกแรก สังคมแคบโซตัส ถ้าไม่รุ่นเดียวกันก็จะสุภาพไปเลย พี่-หนู / น้อง-พี่
88,ดีใจที่เจอแต่รุ่นพี่ที่ทัศนคติดีๆไม่โซตัส/แต่ก็บางคนอะเนอะแอคจัดๆ//เพื่อนก็ดีดีแบบไม่เคยพบมาก่อน!! มันสุดยอดมากโฮร้ออออออ แต้มบุญด้านนี้หมดยัง
89,รับน้องโซตัส  via @YouTube
